pi_id,name
501636,Sameer Shende
370666,Zijiang Yang
550641,Rebecca Willett
561774,Zvonimir Rakamaric
144663,Dwight Egbert
365324,William Armitage
425015,Denise Westbrook
444423,Qiong Zhang
118057,Hassan Karimi
406300,Nianwen Xue
521915,Kevin Shelburne
530640,Denise Thorsen
560535,Thomas Bailey
335779,Megan Squire
541861,Panganamala Kumar
475422,Guang Gao
443100,Yikun Huang
89679,Ahmed Hambaba
538913,Junhua Ding
417387,Daniel Fuhrmann
550519,Chandan Reddy
485207,Howard Elman
382726,Monica Lam
555227,Thomas Mason
208197,Jennifer Weller
515695,Ralph Greenspan
531018,Edward Carpenter
388382,Benjamin Wah
2539,M. Kirk Hall
521159,Joannes Westerink
553915,David Hart
408307,Yizhou Yu
214899,Nathan Bos
475047,Bala Krishnamoorthy
550344,Sergio Verdu
406250,Gerald Masson
443311,Ellen Campana
83009,William Lenharth
363602,Kayvan Najarian
550133,Wenliang Du
405531,Sandra Slaughter
557943,Jeffrey Bigham
340480,Cem Kaner
504375,Lisa Hines
167056,Donna Caccamise
507823,Robert Cox
450767,George Ferguson
12118,Vickie Booth
485571,Giora Slutzki
456793,Ming-Hsiang Tsou
523431,Dong Xuan
551058,Hongyi Wu
564449,Eric Kolaczyk
496204,Christopher Johnson
381805,John C. Mitchell
229259,Doug Tygar
489369,Daniel Jun Hun Chung
513250,Alba Perez Gracia
277707,Zongming Fei
546049,Bruce Armitage
441371,Ikhlas Abdel-Qader
347915,Laura Toma
12849,Gerald Turner
467793,Mariam Zahedi
549625,Alonzo Kelly
491702,Edwina L. Rissland
515404,Luz Martinez-Miranda
557608,Jurgen Schulze
467660,Murali Mani
442245,Chongwu Zhou
226621,Benoit Morel
485805,Joshua Guttman
518156,Mohamed Mokbel
193726,Carlos Felippa
430566,Paul Jaeger
311350,Rongxing (Ron) Li
506171,Krishnendu Chakrabarty
554456,Maria Cruz
554181,Maurice Herlihy
529429,Carl Landwehr
551483,Jon Reinhardt
288589,Anthony Brockwell
517564,Jingfang Huang
345732,Mitzi Vernon
359520,Sally McKee
565318,Carole-Jean Wu
190828,Elissa Newport
193983,Chung-Chieh Jay Kuo
551428,Hank Loescher
156122,Gari Harris
518347,Anna Liu
3897,Michael Pursley
257653,Suzanne White
335202,Daniel Jackson
185146,B. Earl Wells
562010,Shafrira Goldwasser
527880,Hartmut Kaiser
534008,Sam Malek
184151,Stephen Nichols
399913,Paul DeLuca
557905,Kyle Whyte
409835,S. Shyam Sundar
559098,Danai Chasaki
561475,Vijay Garg
50486,Christopher Colby
518393,Gayatri Mehta
515490,Sharon Oviatt
519305,Christopher Dede
133791,John Launchbury
486477,Victoria Howle
470095,Damon Chandler
527086,Timothy Sherwood
517507,Howard Friedman
156364,Gary Howell
140772,Michael Huhns
445522,Jeff Drucker
396781,Michael Minion
460117,Elizabeth Davidson
407115,Yang Ding
168088,Jeffrey Rydberg-Cox
169335,Takashi Ono
425155,Simanta Mitra
562679,Sasha Barab
469081,Alexei Stuchebrukhov
291090,David Strang
46066,Phillippe Loustaunay
550753,Hanna Wallach
344016,Robert Ellingson
518557,Dongyan Xu
551746,David Mostow
563803,Gregory Abowd
549737,Sarita Schoenebeck
496016,Patricia Kovatch
282383,Diana Gordon-Spears
144300,Joseph Hui
435649,Edwin Harcourt
360930,Marilyn Tremaine
275326,Pavel Pevzner
522381,Jonathan Turner
509677,Jing Shi
320722,Leslie Wilson
95619,Anupam Madhukar
117382,Arthur Doggett
533845,Ryan Baker
527078,Randy Katz
502398,Jonathan Pillow
527834,Patrick Bourgeron
364489,Ian Gravagne
532440,Susan Lysecky
496890,Semiha Ergan
508395,Rezaul Chowdhury
518515,Benjamin Belzer
459051,Mason Katz
234099,Kedar Namjoshi
563508,Ljudevit Bauer
557842,Jeffrey Collmann
526577,Bruce McLaren
447502,Shrinivas Kulkarni
236764,Vladimir Kulyukin
550484,David Laidlaw
27811,William Bogley
558578,Carl Kelley
526892,Hartmut Geyer
521677,Yaling Yang
478719,T.H. Williams
271309,James Flanagan
549675,David Rempel
463980,Moayed Daneshyari
438745,Ahmed Elmagarmid
380627,Thomas Doeppner
437955,Janet Brown
550177,William Eberle
560656,Alan Hastings
451657,Daniel Perkins
554699,Daniel Ellis
425832,Wayne Summers
420384,Adrian Agogino
489746,Frank Tittel
159459,Maria Martinez
451601,Murat Alanyali
466826,Marty Humphrey
294423,Christopher T. Kello
445915,Daniel Swets
438560,Bedrich Benes
390251,Dabao Zhang
466630,JoAnn Kuchera-Morin
460691,Valencia Johnson
543479,Iyad Obeid
551156,Louis-Noel Pouchet
562927,Timothy Miller
500856,Srinivas Ravela
236202,Thomas Hofmann
365997,Brian Davison
388093,Gail Wagner
119103,Jeffrey Goldberg
522601,Tao Xing
522417,Preston Moore
451556,Anna Gal
424769,Gregory Kulczycki
218235,Jason Hickey
479676,Gang-Yu Liu
326901,Brian Berenbach
548079,Douglas Reeves
332369,Kelly Shaw
515545,Mark Saffman
522399,Rajiv Dubey
560305,Behrokh Khoshnevis
402219,Lois Black
6371,Peter E. Wilkniss
295247,Prithviraj Banerjee
522418,Vojislava Pophristic
316983,Tanja Schultz
471049,Steve Wereley
251075,Diana L. Burley
550373,Ileana Streinu
563144,David Randall
538557,Tomonari Furukawa
520564,Keith Miller
379857,Xiaoqin Wang
292577,Dwight Gourneau
522857,John Jeka
563314,Ravi Kuber
402452,James Buckley
554244,Lee Spector
210031,Wentai Liu
460379,Giulia Galli
553946,Jo Ann Wise
33682,James Jokl
382687,Nicol McGruer
550879,Jordan Boyd-Graber
522960,Noah Cowan
48899,Steven Rudich
102770,Ralph DiCaprio
564860,Vinod Vokkarane
89798,Walter Rudd
17022,Edward Reingold
537487,Satchi Venkataraman
543505,Christopher Bishop
316962,Raymond Klefstad
483342,James Landay
529645,Andrew Campbell
541502,Paul Balister
71613,Chun-fan Chen
451255,John Zimmerman
385551,Kimberly Fluet
399674,Andreas Savvides
42635,Joseph Keller
550863,Benjamin Marlin
550826,Florian Enescu
450899,Mausam Mausam
560642,Kevin Patrick
487120,Marina Bers
432631,Roger Levy
221311,Carl Meyer
553228,James F. Allan
519433,Cameron Patterson
218101,Marc Pollefeys
559589,Dan Popa
515474,Sabre Kais
530742,Ilya Baldin
515836,Todd Millstein
518513,Mark Craven
371241,Gerald Arthur
134853,Basilis Gidas
554470,Mary Whitton
433014,Prabir Barooah
389215,Jianwen Su
504299,Joanne Hale
486150,Tolga Duman
92118,Toniann Pitassi
289631,Robert Hubal
306060,Henryk Temkin
541006,Christina Kim
521968,Mark Blackburn
154569,Joan Mazur
355185,Thomas Eskridge
60693,Linda Seiter
67009,Harold Carter
306467,Tony Chan
496785,Mathew Palakal
535141,Michael Zentner
436198,Ken Boff
548160,Christopher Green
211308,Vicki McKinney
439617,Duncan Moore
463460,Laura Whyte
292526,Glenn Bresnahan
451640,Giri Narasimhan
451783,Zbigniew Kalbarczyk
549957,Alexandra Boldyreva
520944,Rebecca Jordan
409525,Vinodchandran Variyam
179577,Eusebius Doedel
550822,John Reif
425877,Dennis Groth
528483,Shou-Hsuan Huang
290967,Thomas Levenson
357763,Rainer Doemer
89511,Terrence Caelli
493223,Jelena Kovacevic
485923,Rupal Patel
540130,Jose Fortes
530999,James Griffioen
532951,Ponnuswamy Sadayappan
477807,Herve Moulin
549435,Richard Crawford
82425,Peter Santago
486226,Javed Mostafa
414683,Q. Jane Wang
488680,Andrew Vince
496817,Bradford Mott
491111,Stephen Boyd
517969,Ming-Yang Kao
529846,David Burgess
553595,Leonidas Fegaras
381522,Daqing Wan
409896,Gary Bishop
513006,Yael Niv
563576,Timothy Finin
295060,William Mark
270261,Peter Saggau
559268,Daniel Andresen
6113,Martha Stone-Martin
538210,Aniruddha Thakar
82330,Mark Pendrith
500566,Feng Sheng Hu
409044,Manuel Penaloza
440104,Hunter Gehlbach
474244,Jacob Furst
313731,Faquir Jain
201028,Sugih Jamin
553824,Jon Holtzman
409161,Stephen Fenner
259953,D. Mitchell Wilkes
441347,Maureen Doyle
143373,Steven Velinsky
518100,Jimmy Lin
406755,Gregory Cooper
233444,John Flanagan
179250,John Stonick
421209,Matthew Heinzel
530092,Edward Lazowska
260107,James Heckman
563449,Wuchun Feng
390853,Mounya Elhilali
456874,Richard Leahy
285098,David Featherman
560261,Raghupathy Sivakumar
150030,Okon Akpan
30787,Joseph Tafoya
545858,Robert Schoelkopf
407400,Ramakrishna Thurimella
106646,Elaine Albright
562933,H. Howie Huang
443055,Thomas Wolff
495002,Dov Liberman
83064,Richard Volz
451161,Song Wang
500300,Ilse C.F. Ipsen
554035,Victor Ferreira
67140,Larry Finkelstein
533936,William Cohen
399151,Paul Kit Lai Yu
558897,Martha Peterson
530406,Dianne Cook
534411,Jeffrey Trinkle
557518,Genevera Allen
49815,Maria Paola Bonacina
104937,David Rosenthal
540138,Peter Dinda
461768,Amer Diwan
550615,Stephanie Weirich
511735,Yonghong Yan
555644,Todd Murphey
460719,Xin-Zhong Liang
456692,Szymon Rusinkiewicz
547371,Michael Hildreth
564427,Sallie Keller
2665,Patricia McNamara
343488,Soon-Ok Park
365925,Oren Etzioni
456536,Derong Liu
409715,Kihong Park
427492,Indra Sarkar
552780,Peter Koons
518277,Aidong Zhang
557164,Cornelis Victor Jongeneel
492735,Martha Crosby
451105,Samuel Kamin
226709,Thomas Henzinger
475366,Emmanuel Agu
495586,Janet White
115688,Joseph Hummel
478413,Donald Wunsch
541981,Constantine Caramanis
218135,Curtis Hill
541839,Karine Le Roch
379772,Carol Burger
563565,Andy Adams-Moran
522313,Richard McLaughlin
424922,mervat abdelhak
138509,Todd Wood
498601,Joan Barth
467389,Thomas Dunning
468857,Peter Prevelige
48722,Eric Hood
425244,Greg Hamerly
441807,Anette Hosoi
420386,William Warren
425848,Rita Powell
490010,Rajiv Kalia
518464,Boris Aronov
542982,Wei-Jun Cai
466904,Samir Chatterjee
472051,Qi Hao
448581,Chaoyang (Joe) Zhang
200875,Michael Tanner
561936,Vaibhav Garg
434616,Xuxian Jiang
543673,William Bialek
284701,Peter Neumann
184164,Martha Joukowsky
296399,William Jepson
502284,Kilian Weinberger
534860,John Wooley
342763,Shalinee Kishore
433532,Umit Ozguner
508479,Toby Berger
548253,Robert Proctor
342812,Andrew Odlyzko
390884,Scott Klemmer
343403,David Cyganski
550054,Dieter Fox
251532,Craig Johns
520288,Franklyn Turbak
493497,Jason Mitchell
486459,Mourad Ouzzani
513314,Simon Leonard
495222,Dan Ramsey
516978,Alexander Nikolaev
472116,Xiaoyin Xu
525604,Sen-ching Cheung
531670,Martin Farach-Colton
270496,Kazuhiko Kawamura
50521,Adnan Aziz
561784,Klara Nahrstedt
269379,Stephen Winters-Hilt
486121,Huong Higgins
521729,Brig 'Chip' Elliott
211900,John Kubiatowicz
56470,Craig Labovitz
522180,Samee Khan
297665,Artyom Grigoryan
488847,David DeSteno
231182,Richard DeMillo
275099,Koray Karahaliloglu
462762,Annamalai Annamalai
236241,Roberta Balstad
177233,Hongzhan Huang
516986,Jason Hartline
442255,Mustafa Khammash
496361,Steven Gabriel
94796,Peter Nowak
215359,Tibor Beke
410042,Daniel Zappala
371260,Georgia Sadler
353783,Sebastian Thrun
522430,Anatoly Spitkovsky
451311,Lisong Xu
336695,Barbara Owens
476942,Sol Gruner
516957,Zeev Maoz
558488,Laxmikant Kale
480791,Marc Bockrath
96442,Adrienne Lee
538954,Luping Yu
525906,John Porter
244065,John Tucker
58360,Laszlo Lovasz
289402,Danny Martin
557628,Kristene Unsworth
561880,David Stewart
559547,Hema Srinivasan
526658,Chadia Affane Aji
425156,Carl Chang
167381,Mark Satterthwaite
529311,Stuart Lindsay
224876,Johnie Burton
248622,J. Kenneth Shultis
113018,Bradley Vander Zanden
517887,Kristina Lerman
562052,Rahul Simha
491938,Brian Ross
549951,Christof Paar
553615,C.Mani Krishna
526127,Sushil Prasad
529917,Yanqing Zhang
44537,Kathie Munn
450887,Abhijeet Ghosh
43607,Lewis Branscomb
503619,Marco Santello
555292,Michael Miller
560342,Marleigh Sheaff
438709,Jessica Hodgins
485258,Shengli Sheng
562634,Enrique Dunn
306532,Stergios Papadakis
551079,Walter Willinger
534566,Alyson Fletcher
144588,David Millar
385866,Nily R. Dan
523472,Lisa Mendel
155198,Rym Zalila-Wenkstern
299992,Mark Van Boening
67769,Chuck Song
517222,Richard Byrd
532652,Elizabeth Johnson
518511,Yuan Zheng
499380,Mark Brodie
64400,Murilo Coutinho
505142,Susan Coppersmith
293969,Robert Futrelle
550447,Constantinos Dovrolis
511972,Wolfgang Losert
123164,David Ackley
483467,Valerie Shalin
564585,John Gero
350596,William Euler
475404,Jinxiang Chai
477502,E. Downey Brill
66647,John Holzrichter
483401,Mahta Moghaddam
405707,Laurie Kirsch
147305,Karen Spahn
162453,Robin Gutell
551126,Haitao Zheng
349177,Mark Frank
409314,Neal Anderson
311538,Douglas Salane
431051,Libby Kumin
79756,Richard Osborne
71847,Augustus Uht
91263,Peter Kant
557907,Sean Valles
550281,Atif Memon
316440,Paul Francis
33765,Ronald Colvin
500851,Bruce Schatz
194265,Fengxiang Li
223264,Hairong Kuang
170530,Roger Meyer
423736,Mark Lewis
549714,Arya Mazumdar
264217,Barbara Mirel
486609,Eelke Folmer
399556,Keshab Gangopadhyay
494164,Xuedong Hu
562688,Maxim Likhachev
386474,Luis Amaral
368126,Camille Goudeseune
318568,Deborah Sharer
558173,Richard Korf
225741,Dale Kraemer
541946,Paul Hudak
440832,Benjamin Van Roy
335831,Mema Roussopoulos
375361,Kent Choquette
553612,Houman Homayoun
409342,Vladimir Vapnik
551037,Pradeep Ravikumar
550968,Matthew Easterday
501291,Janet Carlson
257577,Daniel Marcu
316568,Vana Kalogeraki
544609,Xavier Siemens
410652,K. Wendy Tang
211876,Vallampadugai Arunachalam
103939,Ronald Morford
103841,George Bissinger
543859,Janet Hunziker
425197,Shengru Tu
533198,Xenofon Koutsoukos
312698,Yongcheng Liu
539162,Thomas Jordan
543525,Stanley Birchfield
550111,Steven Graves
495984,Philip Allen
467978,Philip Kortum
438749,John Collura
522070,Chivey Wu
539129,Gerard Cornuejols
413136,Joel Sherzer
528841,Lorena Barba
554417,Pravin Varaiya
543563,Timothy Kurzweg
258132,Daniel Dunlap
287564,Walter Maner
535370,Petra Sierwald
344850,Donald McGillen
79679,Alan Bawden
232916,Willie Pearson
526053,Charles Taylor
562975,Lulu Qian
560705,Ken Dill
453967,Kristin Wood
329343,Massood Tabib-Azar
139906,Brian Gugerty
445140,Seth Lloyd
342979,David Leake
321011,Elif Uysal-Biyikoglu
551097,Yuanyuan Zhou
471987,Gayla Margolin
517818,Douglas Turnbull
82700,Michael Scordilis
498314,Naren Ramakrishnan
513341,Donald Butler
490047,Martin Cody
43556,Rex Jameson
531032,Andrew Gallo
560444,Jessy Grizzle
438703,Jon Solworth
430297,Lada Adamic
381541,Csaba Toth
380655,Chu Jong
106598,James Fern
539195,Randolph Duran
409053,John D'Arcy
523332,Dmitry Streletskiy
547707,Laura Carlson
155980,Joey Storer
451694,Yogesh Joshi
502115,Parvathinathan Venkitasubramaniam
323756,Roger Brockett
493395,Predrag Jelenkovic
548306,Venugopal Govindaraju
438597,Leslie Valiant
99599,Steven VanderWiel
401912,Polina Golland
225562,Jeffrey Proehl
167098,Henrik Schmidt
263679,Stephen Bay
553538,Rakesh Bobba
379044,Jaydev Desai
140319,A. Webster Jr Murray
446712,George Landon
454014,William Simpson
486430,Dmitry Zotkin
260968,M.Y. Sanadidi
192133,Michael McKelvy
430485,Allison Whitmer
561985,Ramamoorthi Ravi
535155,Gary LaFree
525526,David Stark
513597,Cun-Hui Zhang
29287,Edie Rasmussen
538372,Robert Braun
543573,Geoff Kuenning
556616,Ricardo Bianchini
431119,Allen Allison
486115,Klaus Mueller
532700,Warren Alexander
485742,Mitchell Thornton
486502,Mohan Kumar
517933,Mingyan Liu
513338,Nicoleta Bugnariu
485520,Mihail Popescu
406377,David Harris
343475,Stephen Camp
156744,John Adler
525365,Vladimir Mitin
457024,Yoky Matsuoka
480627,James Eckstein
505745,Chun-Hsi Huang
224279,Richard Povinelli
258174,Carl Granger
559995,John Anderies
543750,Mansour Shayegan
528297,Rusty Baldwin
564569,Miklos Bona
88878,Nancy Allen
183505,Chung-Ping Chen
426467,Tamal Mukherjee
201147,Joseph Freeland
539063,Thalia Anagnos
542439,Lynn Peterson
371276,Gokhan Tur
525726,Jenett Tillotson
496138,Zeeshan Syed
358483,umer farooq
56884,Christopher Peebles
30837,Robert Winn
362803,Shih-I Chu
476751,Miguel Alonso
550740,Cyrus Shahabi
558561,Maria Luisa Sapino
526576,Jodi Forlizzi
492859,Stefan Schaal
554360,Michael Zink
357424,Pawel Wocjan
348204,Baek-Young Choi
483477,Carl Fox
328530,John Pani
540768,Stephen Patek
467171,Andrew Miner
449831,Anthony Reeves
193121,Wendell Lim
334102,Bonnie Dorr
561017,Lanlin Lee
268559,Roger Hartley
438426,Zhi-Hong Mao
255197,Ronald Perry
314892,Neil Stillings
29286,Robert Korfhage
337750,Erik Rosenthal
226613,John Schnase
531638,Justin Zhan
234597,John Moody
397106,Ali Tosun
409115,Ivan Marsic
23927,Weijia Shang
531543,Dan Suciu
451152,Amir Roth
346881,Michael Erickson
502253,Sayeef Salahuddin
548310,Edward Knightly
550852,Nirwan Ansari
552243,Kwan-Liu Ma
531778,Demet Batur
231162,Mineo Takai
196074,Renee Tynan
311936,Chenxi Wang
534310,Ann McNamara
543376,K Subramani
563687,Yolanda Gil
538314,Benjamin Shapiro
33433,Raymond Kase
82824,Horace Mann
562541,John Dennis
539086,Mohan Sridharan
320549,Judith Mann
523091,Haibo Wang
493567,Satish Ukkusuri
427557,Susan D. Penfield
524344,Alan MacEachren
441080,Thomas Daniels
560640,Tajana Rosing
518252,Christopher North
425930,Claudia Alfaro
380720,Genevieve Orr
449735,Tian-Chyi Jim Yeh
490697,Weifeng Su
309296,Calvin Ribbens
492366,John Selker
186582,William Clinger
556991,Stefan Preble
434316,Janice Fernheimer
341681,Jonathan Walpole
294256,Katherine Demuth
2998,Thomas Hyatt
508186,Daniel Costello
323681,Steven Haynes
121542,Wesley Huang
475145,Lisa Parks
453272,Jennifer Wolff
74990,Masoud Mohazzab
33380,
269383,B. Clifford Neuman
550864,J. Eliot Moss
169508,Sidney Quinn
460529,Kevin Hulme
306549,Jerzy Jaromczyk
125800,Karen R. Sollins
172773,Ronn Ritke
502515,Timothy Long
380636,Paul Krapivsky
446868,Katia Passerini
78173,Richard Gerber
558165,David Kasik
290834,Pamela Jordan
84604,Sujata Banerjee
550295,Li-yeng Sung
432103,William H. Tranter
208191,Phillip Bradford
438934,Zygmunt J. Haas
403485,David Donoho
381440,James Gee
558481,Gregory Newman
384295,Bart van Ark
225722,Vishwanath Iyer
35295,Eric Brill
361079,Elizabeth Liddy
435929,John Ketterson
282239,Peter Druschel
432786,Sudarshan Dhall
254152,Ronald Goldman
540132,Mauricio Tsugawa
217432,Christian Scheideler
455430,Joan Bresnan
276755,Frank Siebenlist
121084,Kathlyn Parker
361062,Hira Narang
307837,Dirk Reiners
525789,Kleanthis Psarris
355756,Guifang Li
385797,Konstantin Laufer
545100,Robert Kass
402237,Jason Allaire
402317,Harini Ramaprasad
502394,Sachin Katti
556706,Christopher Batten
92323,David Helmbold
557517,Ashok Veeraraghavan
246910,Mark Elson
478553,Kyung-Suk Kim
490673,Robert Geist
435449,Mark Claypool
279698,Cemalettin Gunturk
167117,Michel Sanner
527292,Ben Shneiderman
96026,Gerhard Ritter
179737,Matthew Haines
351672,Michael Hunter
96814,Nancy Cline
366168,Paul Braun
370891,Professor Arvind
473896,Stanley Blum
540363,Martin Head-Gordon
496541,Calin Belta
150536,Amanda Spink
359532,Sargur Srihari
472087,Keith Williams
551146,William Halfond
353503,Zhiyuan Chen
551154,Peter Heeman
471988,Panayiotis Georgiou
353685,Sidney Resnick
507615,Philip LeDuc
473207,Sean Cleary
534010,Murat Dundar
12182,Akhtar Jameel
334027,Kalpana Shankar
498340,Sarah Pulimood
397112,Manoharan Muthusamy
526840,Hamsa Balakrishnan
386463,Kathryn Aten
343535,Andrzej Proskurowski
545796,H. Eugene Stanley
11072,Elliot Fishman
540771,Alfredo Garcia
467145,Haiying Liu
564021,David Lifka
551084,Vishal Saxena
493949,Seta Bogosyan
139944,Charles Litecky
550415,Andrew Klein
522461,Mohammad Ilyas
556819,Rastislav Bodik
499806,Raquel Urtasun
413368,Gary Marchant
396215,Qiao Lin
561030,Peng Yin
550629,Robert Young
538992,Geoffrey Fox
80495,George Nakos
316991,Anup Ghosh
391289,Alper Ungor
483630,Beth Kolko
217881,Heather Wishart
353196,Charles Baldwin
510368,John Andrews
473694,Susan Bridges
455369,John Friedman
380924,Robert Birge
513331,Paul Rybski
486434,Luis Ortiz
91398,Jack Minker
515452,Eric Gilbert
558513,Tevfik Kosar
549910,Emerson Murphy-Hill
521896,Ram Mohan
355215,Michael Cole
529194,Minghua Zhang
425231,Nancy Darling
2384,Richard Belaustegi
518440,Robert Collins
140602,Ngai Hang Chan
375746,Heinz-Bernd Schuttler
475663,Ilka Feller
370318,Mohammed Hussaini
410034,Frederic Parke
285553,Xiao-Bing Yang
485947,David Garlan
190632,Alyn Rockwood
78949,Yuying Li
307822,John Schorge
195982,George Fix
489926,Wesley Hochachka
535738,Harry Cheng
564503,Bo Hong
190718,Paul Rosenbloom
45173,Susan Cromwell
541961,Edward Kohler
559670,Kameswara Rao Namuduri
228277,P. Shankar
525208,Xiaoming Li
225693,George Donohue
518429,Qiang (Shawn) Cheng
410650,Gerrit Wolf
541995,Raghuraman Mudumbai
465435,Miroslav Martinovic
140139,Carole Hill
376147,Justin Sanchez
550501,Misha Kilmer
57636,Anthony Beckman
290109,Julie Abramson
522969,Eugene Spafford
551426,Jeffrey Taylor
424918,Bambang Parmanto
97608,Charles Colbourn
409691,Derek Harter
511691,Chunming Qiao
105956,Yuan-Fang Wang
32568,Mary Humphries
435826,Daniel Montoya
518302,Yingbin Liang
450930,Sergey Bratus
425222,Bobby Granville
550820,Shivnath Babu
94533,Pei Cao
496796,Ronald Greenberg
477226,Coimbatore Ramakrishnan
284907,Lawrence Hanrahan
415028,Amy Anderson
561428,Peter Pirolli
531625,Thorsten Joachims
450802,Adam Meyerson
396455,John Nichols
277620,Christelle Scharff
492610,Florian Buchholz
492076,Guiling Wang
486370,Peng Li
549798,Gustavo Petri
564507,Jerome Lynch
371283,Bryan Morse
438201,Axel Scherer
472196,Mike Hibler
157443,A. Joe Turner
483330,Craig Forest
520031,Karen Roehr
523007,Sridhar Viamajala
553588,Emilio Bizzi
213609,Tona Henderson
518688,David Doty
2977,Cezary Janikow
58200,Lakshman Yagati
339532,Marten van Dijk
214068,Richard Niemi
544345,Thad Walker
85148,Paul Heckbert
388358,Michael Gertz
348554,Mihail Tudoreanu
436270,Tucker Balch
228437,Gregory Baecher
382541,Beverly Sanders
491832,Stuart Shulman
517655,Nicoletta Adamo-Villani
560701,Sabarish Babu
508532,Shivakant Mishra
278900,Christian Stoeckert
278848,Fang Qiu
299696,Donald Homa
564235,Ram Rajagopal
558518,Jason Leigh
560217,Rakesh Vohra
426631,Serge Belongie
527891,Nagiza Samatova
549989,Qiang Du
520030,Fred Martin
551737,Randal Burns
515840,Samuel Buss
25910,Jer-Sen Chen
113161,Shashank Mehta
486511,Samuel Cheng
514912,Philip Resnik
460574,Shangping Ren
554365,Randall Kamien
438419,Bradley Malin
84111,Praveen Seshadri
298963,Ivor van Heerden
513339,Frank Lewis
295121,Christopher Rasmussen
375814,Wenbing Zhao
193727,Kwang-Chun Park
554714,Todd Thorsen
536620,Sonya Hardin
94965,Ken Orgill
558957,Erik Winfree
349921,Debasis Mitra
175706,Mike Gurstein
420735,Lucio Soibelman
232729,Evelyn Roman-Lazen
527080,Francesco Borrelli
464136,Jyh-Hann Chang
496824,Diane Baxter
492272,Lieven Vandenberghe
293343,Michael Pirrung
358528,Gregory Fenves
513126,Ilya Nemenman
425746,Donald McCrickard
151306,Stephen Schach
335170,Jason Wang
545717,Peter Kinget
410040,Mary Vernon
142610,Jeffrey Ullman
524186,Mitchell Smooke
478232,Ying-Cheng Lai
290028,Cristian Sminchisescu
444397,Nader Bagherzadeh
255545,Eric Mortensen
522921,Jacob Wobbrock
495278,Francesco Bullo
438411,Claire Kenyon-Mathieu
343487,Xueqing (Clare) Tang
519626,Jonathan Katz
214124,Vincent Price
498149,Alexander Dekhtyar
553537,Nitin Vaidya
511940,Andrew Miller
15465,George Whitehead
549680,Aaron Steinfeld
508790,Pingfeng Wang
562055,Keith Jones
536658,Derrick Smith
564672,Rudra Dutta
338051,Toan Huynh
483887,Brian Taylor
469338,Mirsad Hadzikadic
451686,Vahid Tabatabaee
82183,E. Jerome Niebaum
506208,Can Koksal
491085,Mark Batzer
294416,Elizabeth Shriberg
518974,Margaret Cozzens
525848,John Abowd
217270,A. Funda Ergun
517806,Huan Liu
477270,Keren Bergman
284614,Zvi Rusak
297915,Raymond Goldstein
379377,Jonathan Wilkenfeld
555636,Thomas Wolcott
560505,Cecelia Deluca
540566,Jitendra Tugnait
507106,Andrew Ellington
139678,Laurence Linnett
564722,Rama Chellappa
139185,Steven Skaar
518412,Sanjoy Baruah
333902,Barbara Grosz
152126,Sudhakar Reddy
485748,Peter Beerel
540691,Jeffrey Kharoufeh
564654,Amit Lal
409331,Catherine Schevon
550938,Nicola Elia
553308,Sarah Creem-Regehr
501035,Erle Ellis
548097,Andres Molina-Markham
524324,Jeremy Roschelle
551150,Michelle Riconscente
521912,Peter Laz
388419,Seth Orsborn
507285,Emily Bender
266906,Morteza Gharib
351797,Arnold Vedlitz
447061,Victor Isakov
384275,Steven Strogatz
